ScreenName,AuthorID,AccountCreationDate,isVerified,FollowerCount,FollowingCount,TweetCount,Party
HillaryClinton,1339835893,2013-04-09 18:04:35+00:00,True,31374537,956,13269,democrat
BarackObama,813286,2007-03-05 22:08:25+00:00,True,131350675,586106,16417,democrat
BernieSanders,216776631,2010-11-17 17:53:52+00:00,True,15525948,1474,20533,democrat
AOC,138203134,2010-04-28 22:38:40+00:00,True,12936476,3674,13592,democrat
KamalaHarris,30354991,2009-04-11 00:42:07+00:00,True,19559974,731,16453,democrat
JoeBiden,939091,2007-03-11 17:51:24+00:00,True,33342653,48,8078,democrat
SenSchumer,17494010,2008-11-19 20:10:20+00:00,True,3397235,24243,22513,democrat
SpeakerPelosi,15764644,2008-08-07 15:35:02+00:00,True,7382721,430,12789,democrat
EWarren,357606935,2011-08-18 16:43:48+00:00,True,5902332,563,12279,democrat
PeteButtigieg,226222147,2010-12-13 16:49:04+00:00,True,3632768,2798,12849,democrat
RepAdamSchiff,29501253,2009-04-07 17:54:35+00:00,True,3110467,863,6556,democrat
CoryBooker,15808765,2008-08-11 14:41:16+00:00,True,4913483,87766,67115,democrat
GavinNewsom,11347122,2007-12-19 19:53:42+00:00,True,1993654,22548,15370,democrat
AmyKlobuchar,33537967,2009-04-20 14:59:36+00:00,True,1895749,133656,14886,democrat
SenSherrodBrown,43910797,2009-06-01 16:07:45+00:00,True,513370,335,8789,democrat
ChrisMurphyCT,150078976,2010-05-31 01:22:43+00:00,True,1078777,246,27011,democrat
RBReich,148529707,2010-05-26 23:17:10+00:00,True,1472456,616,23562,democrat
SenGillibrand,72198806,2009-09-07 03:53:24+00:00,True,1604926,1083,21099,democrat
SenDuckworth,1058520120,2013-01-03 18:59:33+00:00,True,772776,7435,10274,democrat
RepMaxineWaters,36686040,2009-04-30 15:17:45+00:00,True,1695862,694,3441,democrat
MarcoRubio,15745368,2008-08-06 03:07:06+00:00,True,4308785,2551,15940,republican
SenTedCruz,1074480192,2013-01-09 18:11:37+00:00,True,2385230,5533,18837,republican
Jim_Jordan,18166778,2008-12-16 17:20:24+00:00,True,2372310,3782,7688,republican
GOPLeader,19739126,2009-01-29 22:28:48+00:00,True,1437080,1423,19205,republican
LindseyGrahamSC,432895323,2011-12-09 22:21:03+00:00,True,2036656,2036,13636,republican
GovRonDeSantis,1058807868,2013-01-03 21:20:17+00:00,True,1697210,1,5692,republican
HawleyMO,2352629311,2014-02-20 03:13:57+00:00,True,731150,957,6041,republican
MarshaBlackburn,278145569,2011-04-06 18:05:33+00:00,True,428684,2001,14206,republican
SenTomCotton,968650362,2012-11-24 19:33:10+00:00,True,471033,360,11067,republican
SenJohnKennedy,816683274076614656,2017-01-04 16:30:40+00:00,True,278983,1306,3202,republican
ChuckGrassley,10615232,2007-11-26 15:17:02+00:00,True,678587,12794,10917,republican
RandPaul,216881337,2010-11-17 23:52:35+00:00,True,3562488,536,15723,republican
SenRickScott,131546062,2010-04-10 16:03:04+00:00,True,368982,1519,21306,republican
SenMikeLee,88784440,2009-11-09 22:47:47+00:00,True,617791,2141,6541,republican
SenJoniErnst,2856787757,2014-11-02 13:32:54+00:00,True,126986,160,7912,republican
LeaderMcConnell,1249982359,2013-03-07 20:21:15+00:00,True,2115540,109,4849,republican
RepMattGaetz,818948638890217473,2017-01-10 22:32:25+00:00,True,1460125,757,9371,republican
JohnCornyn,13218102,2008-02-07 19:52:55+00:00,True,325886,12552,50506,republican
DonaldJTrumpJr,39344374,2009-05-11 21:18:33+00:00,True,7442027,1611,44726,republican
SenatorRomney,1078693601356509184,2018-12-28 16:46:10+00:00,True,205536,138,1847,republican
